code,bahasaindonesia,english,updated_by_id
1,Jejaring KKP Raja Ampat,Raja Ampat MPA Network,
2,Jejaring KKP Kaimana,Kaimana MPA Network,
995,[995] Tidak ada data,[995] Missing data,
997,[997] Tidak Tahu,[997] Do not know,
998,[998] Tidak Sesuai,[998] Not applicable,
